,Mini Robo Advisors Ultra Conserative Portfolio,Mini Robo Advisors Conserative Portfolio,Mini Robo Advisors Balanced Income Portfolio,Mini Robo Advisors Balanced Growth Portfolio,Mini Robo Advisors Moderate Growth Portfolio,Mini Robo Advisors Aggressive Portfolio,Mini Robo Advisors Ultra Aggressive Portfolio
25000,25000,25000,25000,25000,25000,25000,25000
25000,24983.7,24990.3,24969.775,24961.675,25025.75,25030.05,25065.325
25000,24995.125,25006.95,24935.075,24973.975,25082.475,25049.675,24958.175
25000,25016.45,24988.1,24919.725,25035.775,25112.075,25089.4,24880.5
25000,24997.875,25005.875,24898.5,25088.925,25128.9,25103.375,24945.4
25000,24993.875,25030.625,24904.475,25129.85,25128.4,25123.925,24932.775
25000,24994.725,25005.75,24892.65,25194.7,25171.9,25172.375,24990.85
25000,24992.3,25011.2,24889.775,25232.05,25150.2,25207.875,24940.45
25000,25015.925,25011.275,24892.1,25247.65,25177.25,25162,24997.85
25000,25030.025,24998.825,24924.45,25222.225,25237.05,25143.25,25027.5
25000,25039.075,25015.075,24894.125,25299.475,25193.175,25139.875,25097.825
25000,25035.775,25008.6,24905.6,25357.75,25180.2,25174.5,25098.675
25000,25052.15,25025.6,24938.425,25370.525,25211.325,25117.6,25137.075
25000,25075.2,25017.075,24972.3,25452.925,25229.925,25117.1,25122.325
25000,25082.95,25013.975,24882.725,25479.225,25204.8,25083.85,25208.7
25000,25083.35,25047.975,24889.625,25389.85,25261.525,25146.475,25255.025
25000,25086.125,25062.775,24891.6,25400.075,25279.85,25248,25322.85
25000,25066.825,25079.475,24889.05,25435.85,25260.6,25327,25326.75
25000,25073.5,25091.45,24885.1,25479.8,25252.775,25296.225,25333
25000,25072.75,25092.575,24864.35,25583.825,25253.2,25365.925,25286
25000,25056.2,25095.55,24804,25634.275,25215.325,25344.075,25257.975
25000,25070.45,25112.525,24794.35,25657.425,25261.925,25392.3,25318.025
25000,25034.675,25139.475,24832.45,25689.775,25307.225,25433.175,25327.125
25000,25043,25156.55,24825.875,25657.175,25265.7,25414.85,25356.525
25000,25032.6,25163.2,24799.375,25722.475,25278.975,25415.85,25348.925
25000,25010.175,25162.175,24785.675,25732.375,25282.15,25494.975,25381.1
25000,25001.4,25163.95,24787.05,25725.35,25298.875,25543.45,25400.275
25000,25024.15,25153.775,24776.35,25786.475,25275.375,25470.525,25349.4
25000,25055.2,25151.9,24835.625,25784.5,25250.75,25500.85,25334.95
25000,25034.975,25141.925,24851.375,25769.2,25237.625,25483.4,25376.525
25000,25048.35,25135.7,24871.15,25743.525,25296.525,25494.95,25393.775
25000,25024.275,25114.85,24879.8,25774.35,25253.825,25576.55,25373.5
25000,25008.85,25138.8,24869.05,25718.3,25341.275,25591.225,25332.875
25000,25006.8,25165.925,24879.4,25771.7,25273.4,25605.225,25324.575
25000,25005.775,25178.075,24871.5,25767.125,25312.5,25695,25288.525
25000,24993.2,25183.725,24910.65,25732.425,25241.875,25770.225,25390.4
25000,24985.15,25160.575,24955.725,25773.525,25327.25,25814.4,25494.625
25000,24992.25,25165.125,24963.1,25773.775,25330.85,25769.025,25452.375
25000,24991.3,25163.975,24980.175,25805.05,25337.275,25673.9,25499.85
25000,24994.575,25143.425,24935.75,25809.55,25377.975,25639.5,25537.325
25000,24980.025,25130.575,24984.35,25840.85,25400.9,25619.95,25565.4
25000,25001.275,25175.95,25013.35,25830.975,25412.225,25655.95,25617.85
25000,24995.825,25160.325,25022.35,25836.7,25441.325,25623.45,25667.15
25000,25011.3,25179.125,25055.9,25807.225,25443.3,25559.65,25604.725
