,IAGG,IEFA,IEMG,IJH,IJR,IMTB,ISTB,IVV,USRT
2017-07-07,51.32,60.57,49.73,174.12,70.11,49.28,50.1,243.72,48.56
2017-07-10,51.48,60.66,50.11,173.72,69.72,49.41,50.13,243.97,48.1485
2017-07-11,51.54,60.815,50.5,174.0,69.84,49.4,50.14,243.8,47.9601
2017-07-12,51.64,61.271,51.48,175.14,70.41,49.59,50.22,245.62,48.66
2017-07-13,51.5999,61.49,51.66,175.34,70.58,49.59,50.21,246.06,48.56
2017-07-14,51.6,61.91,52.28,175.93,70.72,49.57,50.24,247.18,49.1
2017-07-17,51.45,61.8,52.06,176.27,70.93,49.66,50.24,247.16,49.66
2017-07-18,51.67,61.895,52.24,175.74,70.68,49.75,50.28,247.34,49.52
2017-07-19,51.58,62.17,52.66,177.49,71.52,49.78,50.24,248.66,49.7341
2017-07-20,51.71,62.405,52.625,177.36,71.58,49.73,50.26,248.74,49.609
2017-07-21,51.7576,62.19,52.565,176.84,71.23,49.74,50.32,248.56,49.62
2017-07-24,51.83,62.04,52.74,177.15,71.24,49.8,50.31,248.48,49.52
2017-07-25,51.67,62.13,52.63,178.72,71.91,49.43,50.23,249.06,49.55
2017-07-26,51.78,62.51,53.02,177.14,71.43,49.8799,50.34,249.13,49.82
2017-07-27,51.77,62.39,52.74,176.57,71.12,49.81,50.32,248.9,49.88
2017-07-28,51.76,62.445,52.76,175.75,70.98,49.81,50.33,248.56,49.7494
2017-07-31,51.77,62.6,52.8,175.5,70.84,49.83,50.31,248.43,49.8772
2017-08-01,51.65,62.95,53.04,175.95,71.03,49.8,50.29,248.98,50.07
2017-08-02,51.76,62.98,53.05,174.68,70.09,49.735,50.28,249.11,49.54
2017-08-03,51.9,63.005,52.795,174.18,69.86,49.7911,50.31,248.65,49.4513
2017-08-04,51.84,63.07,53.0,174.66,70.12,49.8,50.28,249.07,49.64
2017-08-07,51.85,63.105,53.37,174.77,70.15,49.72,50.28,249.52,49.6
2017-08-08,51.84,62.8,53.34,174.3,69.86,49.568,50.24,248.97,49.36
2017-08-09,51.93,62.7,52.83,173.08,69.28,49.7859,50.285,248.91,49.175
2017-08-10,51.9837,61.825,51.55,170.29,68.19,49.84,50.28,245.44,48.9
2017-08-11,52.04,61.74,51.71,170.66,68.2141,49.85,50.31,245.73,48.54
2017-08-14,52.0175,62.2,52.23,172.65,69.22,49.73,50.31,248.17,49.395
2017-08-15,51.93,62.085,52.28,171.75,68.53,49.6883,50.27,248.19,49.1401
2017-08-16,51.911,62.469,52.8,172.17,68.6,49.74,50.3,248.59,49.34
2017-08-17,51.9775,61.8,52.16,169.19,67.29,49.79,50.325,244.76,49.1575
2017-08-18,51.934,61.94,52.59,168.86,67.15,49.77,50.34,244.25,48.58
2017-08-21,52.0105,61.975,52.76,168.83,67.08,49.86,50.35,244.56,49.109
2017-08-22,51.9683,62.27,53.31,170.41,67.745,49.78,50.34,247.05,49.0
2017-08-23,52.07,62.245,53.55,170.0,67.5461,49.8,50.37,246.18,49.4
2017-08-24,52.04,62.115,53.7,169.84,67.66,49.7891,50.37,245.67,49.29
2017-08-25,52.06,62.51,54.02,170.63,67.96,49.88,50.38,246.19,49.565
2017-08-28,52.0863,62.51,53.89,170.56,68.04,49.9799,50.392,246.25,49.0999
2017-08-29,52.15,62.26,53.76,170.43,68.01,50.02,50.39,246.51,49.076
2017-08-30,52.08,62.18,53.88,171.45,68.39,50.0099,50.41,247.7,49.34
2017-08-31,52.124,62.685,54.015,172.86,69.06,50.08,50.42,249.1,49.635
2017-09-01,51.92,62.77,54.38,173.49,69.57,49.898,50.33,249.57,49.94
2017-09-05,52.0678,62.365,53.74,171.6,68.86,49.9301,50.4,247.78,49.72
2017-09-06,51.96,62.74,54.095,171.81,69.04,49.9899,50.38,248.6,49.7972
2017-09-07,52.17,63.26,54.47,171.24,68.84,50.0476,50.43,248.6,50.075
2017-09-08,52.14,63.29,54.14,171.7,68.97,50.1175,50.38,248.24,50.14
2017-09-11,52.07,63.745,54.86,173.76,69.67,49.88,50.375,250.89,50.575
2017-09-12,51.9,63.91,54.8,174.99,70.18,49.85,50.3,251.8,50.02
2017-09-13,51.88,63.57,54.52,174.76,70.44,49.85,50.28,251.9,49.929
2017-09-14,51.8,63.72,54.67,174.68,70.4,49.86,50.3,251.83,50.26
2017-09-15,51.74,63.76,55.0,175.32,70.75,49.88,50.28,252.19,50.44
2017-09-18,51.72,63.835,55.15,176.17,71.31,49.66,50.3,252.66,50.21
2017-09-19,51.73,64.14,55.26,176.12,71.2,49.8299,50.27,252.94,49.825
2017-09-20,51.6604,64.005,55.03,176.67,71.44,49.6999,50.25,253.07,49.7299
2017-09-21,51.68,63.85,55.04,176.27,71.47,49.782,50.2497,252.36,49.63
2017-09-22,51.74,64.03,54.7,176.77,71.95,49.785,50.26,252.39,49.23
2017-09-25,51.74,63.719,53.72,177.15,72.16,49.8488,50.31,251.9,49.52
2017-09-26,51.7711,63.54,53.635,176.74,72.3,49.8,50.3,250.75,49.21
2017-09-27,51.6197,63.605,53.43,178.41,73.79,49.824,50.26,251.72,48.76
2017-09-28,51.69,63.82,53.39,178.78,73.97,49.76,50.27,252.02,49.2
2017-09-29,51.7038,64.2,54.0,178.95,74.18,49.8,50.275,252.91,49.25
2017-10-02,51.66,64.105,54.06,180.53,75.22,49.6499,50.15,253.96,49.1
2017-10-03,51.635,64.34,54.85,181.0,75.4,49.63,50.185,254.55,49.14
2017-10-04,51.68,64.225,54.85,180.91,75.07,49.6899,50.14,254.89,49.31
2017-10-05,51.71,64.17,55.24,181.45,75.21,49.6,50.18,256.37,49.56
2017-10-06,51.67,64.1,54.975,181.3,75.09,49.69,50.16,256.13,49.41
2017-10-09,51.715,64.12,54.91,180.76,74.74,49.7499,50.15,255.69,49.488
2017-10-10,51.7,64.735,55.44,181.3,74.91,49.59,50.16,256.32,49.57
2017-10-11,51.69,64.9,55.67,181.42,74.725,49.61,50.17,256.73,49.69
2017-10-12,51.78,64.87,55.68,181.46,74.64,49.5801,50.18,256.34,50.13
2017-10-13,51.84,65.21,56.16,181.36,74.57,49.77,50.2,256.65,50.24
2017-10-16,51.86,65.18,56.11,181.37,74.46,49.7,50.18,257.02,49.93
2017-10-17,51.91,64.99,55.85,181.1,74.28,49.575,50.185,257.21,50.06
2017-10-18,51.83,65.16,55.97,181.67,74.78,49.5553,50.14,257.43,50.05
2017-10-19,51.835,65.005,55.52,181.88,74.6,49.55,50.172,257.54,49.81
2017-10-20,51.76,64.9,55.72,182.94,74.98,49.54,50.11,258.83,49.6
2017-10-23,51.82,64.775,55.31,182.02,74.6,49.5703,50.13,257.87,49.44
2017-10-24,51.74,64.89,55.36,182.67,74.81,49.53,50.165,258.27,49.08
2017-10-25,51.72,64.68,55.24,181.57,74.43,49.6599,50.12,257.04,48.9
2017-10-26,51.74,64.67,54.9,182.42,74.77,49.38,50.1,257.33,48.62
2017-10-27,51.87,64.795,55.655,183.38,75.18,49.4452,50.16,259.44,48.78
2017-10-30,51.95,64.98,55.3,182.07,74.12,49.42,50.2,258.55,48.7
2017-10-31,52.1,65.26,55.7861,182.98,74.8492,49.59,50.17,258.85,48.79
2017-11-01,52.0224,65.37,56.08,182.54,74.42,49.4,50.04,259.26,48.93
2017-11-02,52.155,65.51,56.17,182.63,74.4,49.53,50.06,259.37,49.35
2017-11-03,52.14,65.415,55.92,183.15,73.93,49.56,50.07,260.19,49.24
2017-11-06,52.26,65.535,56.48,183.88,74.08,49.61,50.11,260.59,49.66
2017-11-07,52.2811,65.29,56.12,182.66,73.31,49.616,50.08,260.48,50.03
2017-11-08,52.26,65.505,56.4,183.18,73.62,49.49,50.02,260.9,50.21
2017-11-09,52.189,65.07,56.08,182.22,73.3,49.4848,49.995,259.97,50.36
2017-11-10,52.05,64.9,55.88,182.19,73.34,49.47,49.985,259.83,50.42
2017-11-13,52.055,64.62,55.77,182.54,73.46,49.38,49.93,260.11,50.6
2017-11-14,52.1,64.6,55.46,182.38,73.46,49.4032,49.93,259.52,50.58
2017-11-15,52.18,64.24,55.19,181.5,73.07,49.28,49.9401,258.18,50.03
2017-11-16,52.13,64.85,56.25,183.31,74.32,49.46,49.955,260.37,50.38
2017-11-17,52.16,64.59,56.49,183.79,74.65,49.41,49.97,259.65,50.26
2017-11-20,52.2,64.79,56.79,184.48,75.21,49.37,49.89,260.04,50.06
