,IAGG,IAGG,IAGG,IAGG,IAGG,IEFA,IEFA,IEFA,IEFA,IEFA,IEMG,IEMG,IEMG,IEMG,IEMG,IJH,IJH,IJH,IJH,IJH,IJR,IJR,IJR,IJR,IJR,IMTB,IMTB,IMTB,IMTB,IMTB,ISTB,ISTB,ISTB,ISTB,ISTB,IVV,IVV,IVV,IVV,IVV,USRT,USRT,USRT,USRT,USRT
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
2017-07-07,51.31,51.48,51.31,51.32,108611.0,60.37,60.61,60.279,60.57,4984699.0,49.75,49.8466,49.53,49.73,8651774.0,172.78,174.26,172.52,174.12,798791.0,69.51,70.22,69.4,70.11,1703205.0,49.26,49.29,49.01,49.28,1300.0,50.15,50.15,50.08,50.1,100495.0,242.81,243.91,242.64,243.72,1987606.0,48.18,48.68,48.12,48.56,3430.0
2017-07-10,51.61,51.61,51.2088,51.48,47045.0,60.49,60.69,60.47,60.66,2878352.0,49.87,50.17,49.83,50.11,4490266.0,173.8,174.47,173.47,173.72,567583.0,69.83,70.24,69.47,69.72,1281579.0,49.29,49.41,49.11,49.41,10796.0,50.11,50.15,50.08,50.13,112797.0,243.57,244.42,243.4,243.97,2341715.0,48.76,48.76,48.0011,48.1485,2856.0
2017-07-11,51.53,51.55,51.3925,51.54,32063.0,60.54,60.83,60.44,60.815,2657714.0,50.38,50.56,50.23,50.5,4615472.0,173.75,174.1799,172.68,174.0,916256.0,69.69,69.92,69.17,69.84,2277666.0,49.35,49.47,49.222,49.4,11471.0,50.11,50.14,50.1,50.14,59292.0,243.8,244.17,242.48,243.8,2346895.0,48.28,48.28,47.6801,47.9601,440783.0
2017-07-12,51.64,51.6499,51.5,51.64,20938.0,61.19,61.355,61.13,61.271,5530476.0,51.2,51.54,51.18,51.48,7915604.0,174.87,176.12,174.76,175.14,622237.0,70.16,70.82,70.15,70.41,1681527.0,49.47,49.68,49.19,49.59,25748.0,50.22,50.23,50.1975,50.22,85240.0,244.97,245.84,244.96,245.62,2773409.0,48.24,48.82,48.24,48.66,9382.0
2017-07-13,51.61,51.62,51.45,51.5999,36171.0,61.4,61.53,61.29,61.49,2328505.0,51.49,51.69,51.47,51.66,4429664.0,175.19,175.4,174.35,175.34,800178.0,70.38,70.58,70.0,70.58,1789352.0,50.7,50.7,49.4864,49.59,15205.0,50.17,50.22,50.17,50.21,109328.0,245.69,246.2,245.42,246.06,2322602.0,48.53,48.8,48.53,48.56,40899.0
2017-07-14,51.69,51.69,51.48,51.6,51468.0,61.66,61.935,61.62,61.91,3105860.0,52.01,52.335,51.99,52.28,6204760.0,175.23,176.56,175.23,175.93,879919.0,70.42,70.93,70.42,70.72,2707703.0,49.71,49.71,49.4801,49.57,6425.0,50.26,50.26,50.22,50.24,97032.0,246.09,247.63,245.97,247.18,1769320.0,48.86,49.27,48.86,49.1,15186.0
2017-07-17,51.66,51.6799,51.0901,51.45,278534.0,61.84,61.9,61.75,61.8,1933615.0,52.135,52.15,51.975,52.06,5370461.0,175.96,176.54,175.4,176.27,463845.0,70.73,71.1182,70.46,70.93,1380662.0,49.64,49.6683,49.5,49.66,5082.0,50.24,50.25,50.2,50.24,76450.0,247.13,247.58,246.98,247.16,2200003.0,49.04,49.66,49.04,49.66,9547.0
2017-07-18,51.57,51.68,51.52,51.67,44736.0,61.81,61.9,61.755,61.895,2182368.0,52.02,52.28,51.94,52.24,3825210.0,175.88,176.01,175.05,175.74,677235.0,70.71,70.805,70.37,70.68,1280960.0,49.74,49.75,49.6334,49.75,4427.0,50.28,50.28,50.24,50.28,72169.0,246.72,247.38,246.32,247.34,1926479.0,49.43,49.6499,49.21,49.52,5656.0
2017-07-19,51.72,51.72,51.55,51.58,51010.0,62.03,62.18,62.01,62.17,2817403.0,52.69,52.7554,52.57,52.66,4794418.0,175.98,177.56,175.85,177.49,484237.0,70.85,71.55,70.85,71.52,1972169.0,49.56,49.78,49.5125,49.78,6171.0,50.29,50.29,50.22,50.24,229926.0,247.71,248.67,247.68,248.66,1523438.0,49.56,49.84,49.5,49.7341,14454.0
2017-07-20,51.75,51.75,51.6225,51.71,20938.0,62.33,62.46,62.2466,62.405,4204014.0,52.69,52.72,52.4965,52.625,4867987.0,177.63,177.71,176.99,177.36,711377.0,71.57,71.72,71.34,71.58,2843932.0,49.75,49.77,49.6,49.73,2447.0,50.25,50.31,50.24,50.26,81454.0,248.96,249.1,248.15,248.74,3125709.0,49.88,49.88,49.5292,49.609,7282.0
2017-07-21,51.75,51.85,51.71,51.7576,20041.0,62.13,62.2,61.925,62.19,2272717.0,52.59,52.63,52.445,52.565,8612148.0,177.23,177.38,176.2308,176.84,745891.0,71.55,71.7,71.075,71.23,1743345.0,49.6545,49.76,49.49,49.74,2437.0,50.31,50.34,50.2701,50.32,391864.0,248.11,248.57,247.84,248.56,2348494.0,49.62,49.72,49.29,49.62,3268.0
2017-07-24,51.85,51.85,51.7192,51.83,25722.0,61.97,62.08,61.805,62.04,2825943.0,52.74,52.7955,52.58,52.74,3591848.0,176.82,177.29,176.46,177.15,565649.0,71.24,71.26,70.8799,71.24,1733337.0,49.73,49.88,49.7,49.8,28064.0,50.33,50.355,50.28,50.31,856597.0,248.45,248.6454,247.95,248.48,2607239.0,49.53,49.58,49.31,49.52,6557.0
2017-07-25,51.74,51.74,51.6,51.67,19340.0,62.38,62.38,62.1,62.13,3785463.0,52.76,52.84,52.61,52.63,4857790.0,178.16,179.05,177.71,178.72,1719901.0,71.61,72.05,71.4,71.91,1627404.0,49.79,49.79,49.43,49.43,11920.0,50.31,50.31,50.22,50.23,105270.0,249.36,249.48,248.84,249.06,3637559.0,49.37,49.55,49.265,49.55,4472.0
2017-07-26,51.7,51.7823,51.625,51.78,17430.0,62.31,62.61,62.205,62.51,2756659.0,52.69,53.08,52.64,53.02,5649000.0,178.74,178.78,177.07,177.14,1158080.0,71.92,71.92,71.3,71.43,1543864.0,49.5957,49.8799,49.5181,49.8799,3342.0,50.29,50.35,50.24,50.34,98369.0,249.44,249.48,248.8,249.13,3382543.0,49.5,49.93,49.5,49.82,3612.0
2017-07-27,51.75,51.79,51.61,51.77,18302.0,62.68,62.68,62.19,62.39,3057511.0,53.16,53.18,52.43,52.74,8138800.0,177.33,177.5,175.7,176.57,696602.0,71.53,71.69,70.74,71.12,1537060.0,49.79,49.83,49.723,49.81,3631.0,50.32,50.34,50.29,50.32,61035.0,249.66,249.685,247.34,248.9,3128001.0,49.59,50.06,49.46,49.88,7105.0
2017-07-28,51.67,51.76,51.67,51.76,30933.0,62.24,62.45,62.16,62.445,2548045.0,52.56,52.77,52.43,52.76,5490077.0,176.25,176.42,175.32,175.75,479177.0,70.91,71.19,70.6772,70.98,1505977.0,49.78,49.84,49.59,49.81,1025.0,50.32,50.34,50.27,50.33,74973.0,248.32,248.7288,247.8,248.56,1926412.0,49.74,50.0,49.62,49.7494,7010.0
2017-07-31,52.49,52.49,51.7,51.77,19033.0,62.54,62.67,62.391,62.6,5516019.0,52.88,52.88,52.68,52.8,9267992.0,176.1,176.31,175.0396,175.5,812126.0,71.13,71.23,70.55,70.84,1346744.0,49.82,49.8723,49.54,49.83,8601.0,50.34,50.35,50.31,50.31,79352.0,249.03,249.15,248.2,248.43,2251219.0,49.88,49.9,49.41,49.8772,5303.0
2017-08-01,51.63,51.8,51.5826,51.65,25900.0,63.07,63.1467,62.93,62.95,3977921.0,53.04,53.11,52.9401,53.04,10620324.0,176.2,176.29,175.36,175.95,561973.0,71.19,71.2499,70.61,71.03,2249044.0,49.62,49.8,49.3303,49.8,4129.0,50.26,50.3,50.23,50.29,403187.0,249.15,249.18,248.48,248.98,1953655.0,50.04,50.1575,49.6701,50.07,12802.0
2017-08-02,51.72,51.86,51.6786,51.76,12870.0,63.03,63.05,62.82,62.98,2814900.0,53.11,53.15,52.77,53.05,9666308.0,175.59,175.8599,174.0337,174.68,758222.0,70.95,71.02,69.865,70.09,1684890.0,49.735,49.735,49.735,49.735,140.0,50.28,50.28,50.231,50.28,91020.0,249.16,249.28,248.05,249.11,2402467.0,50.16,50.16,49.4201,49.54,30902.0
2017-08-03,51.83,51.91,51.76,51.9,14194.0,63.0,63.11,62.89,63.005,2712429.0,52.82,52.83,52.57,52.795,5738528.0,174.79,174.95,173.8301,174.18,784463.0,70.23,70.3799,69.66,69.86,1415467.0,49.81,49.81,49.35,49.7911,1187.0,50.28,50.31,50.25,50.31,70684.0,248.98,249.01,248.32,248.65,1634356.0,49.54,49.72,49.3257,49.4513,6130.0
2017-08-04,51.84,51.84,51.66,51.84,29146.0,63.11,63.13,62.845,63.07,2465784.0,52.95,53.0357,52.71,53.0,6919884.0,174.53,174.8799,174.18,174.66,478223.0,69.95,70.1999,69.75,70.12,1058820.0,49.82,49.84,49.7355,49.8,1364.0,50.27,50.28,50.23,50.28,68796.0,249.2,249.47,248.65,249.07,1669049.0,49.69,49.69,49.4158,49.64,5065.0
2017-08-07,51.86,51.9705,51.72,51.85,24372.0,62.99,63.12,62.96,63.105,1851608.0,53.16,53.37,53.14,53.37,3335587.0,174.98,175.21,174.24,174.77,657319.0,70.21,70.365,69.83,70.15,1097891.0,49.78,49.79,49.33,49.72,11064.0,50.23,50.28,50.23,50.28,106854.0,249.17,249.55,249.04,249.52,1185926.0,49.75,49.75,49.484,49.6,10977.0
2017-08-08,51.86,51.8699,51.8,51.84,24707.0,63.04,63.0714,62.75,62.8,2124744.0,53.44,53.69,53.27,53.34,7345637.0,174.68,175.8157,174.01,174.3,540253.0,70.07,70.8,69.71,69.86,1691215.0,49.72,49.72,49.32,49.568,1571.0,50.26,50.26,50.21,50.24,105246.0,249.19,250.6,248.51,248.97,1578132.0,49.55,49.55,49.25,49.36,3351.0
2017-08-09,51.95,51.97,51.82,51.93,40208.0,62.47,62.71,62.3766,62.7,2699816.0,52.68,52.85,52.57,52.83,8059912.0,173.5,173.6,172.52,173.08,803003.0,69.51,69.71,69.02,69.28,2558311.0,49.87,49.8778,49.765,49.7859,1176.0,50.25,50.3,50.25,50.285,119077.0,248.12,248.99,247.73,248.91,1874300.0,49.28,49.33,49.07,49.175,3664.0
2017-08-10,51.97,52.02,51.85,51.9837,28858.0,62.36,62.36,61.78,61.825,2973858.0,52.37,52.37,51.55,51.55,8304293.0,172.49,172.54,170.28,170.29,768434.0,69.01,69.1045,68.19,68.19,2836024.0,49.47,49.93,49.47,49.84,7797.0,50.28,50.29,50.24,50.28,106143.0,247.95,248.1,245.3516,245.44,3773754.0,49.01,49.15,48.88,48.9,7609.0
2017-08-11,52.0,52.1763,51.87,52.04,31668.0,61.76,61.8885,61.63,61.74,3216771.0,51.62,51.905,51.47,51.71,5826710.0,170.11,170.89,169.77,170.66,614878.0,68.2,68.39,67.96,68.2141,4819856.0,49.86,49.866,49.63,49.85,9303.0,50.29,50.33,50.26,50.31,85953.0,245.68,246.44,245.39,245.73,2697812.0,48.96,48.96,48.34,48.54,26559.0
2017-08-14,52.01,52.05,51.87,52.0175,25928.0,62.2,62.31,62.14,62.2,3297352.0,52.25,52.44,52.16,52.23,4128442.0,171.67,173.0034,171.44,172.65,567308.0,68.69,69.27,68.58,69.22,2255118.0,49.81,49.81,49.7088,49.73,11430.0,50.34,50.34,50.28,50.31,76447.0,247.25,248.45,247.24,248.17,2148068.0,48.62,49.395,48.62,49.395,5342.0
2017-08-15,51.88,51.95,51.76,51.93,193881.0,62.09,62.1299,61.884,62.085,2209498.0,52.2,52.33,52.09,52.28,3012028.0,172.84,172.85,171.69,171.75,528805.0,69.37,69.37,68.5,68.53,1838614.0,49.7357,49.83,49.49,49.6883,60291.0,50.27,50.28,50.2376,50.27,73512.0,248.67,248.67,247.83,248.19,1582983.0,49.29,49.29,48.88,49.1401,56642.0
2017-08-16,51.87,51.97,51.75,51.911,31462.0,62.3,62.53,62.28,62.469,2273772.0,52.7,52.835,52.63,52.8,6114741.0,172.13,172.87,171.95,172.17,826451.0,68.68,69.02,68.46,68.6,1805886.0,49.73,49.809,49.6892,49.74,6032.0,50.25,50.32,50.25,50.3,77552.0,248.77,249.24,248.13,248.59,2510410.0,49.16,49.48,49.16,49.34,6815.0
2017-08-17,51.91,51.98,51.8853,51.9775,15595.0,62.3,62.36,61.8,61.8,2828260.0,52.72,52.7799,52.12,52.16,8666618.0,171.7,172.22,169.19,169.19,772704.0,68.31,68.64,67.27,67.29,1945570.0,49.56,49.85,49.56,49.79,8928.0,50.3,50.33,50.27,50.325,112560.0,247.91,248.27,244.755,244.76,4555138.0,49.16,49.49,49.11,49.1575,5239.0
