ETF Ticker,Name,Sector,Asset Class,Weight (%),Location,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA PEOPLES REPUBLIC OF (GOVERNM,Treasury,Fixed Income,0.94,China,,,,,,,,,,,,,,,,,,,,
IAGG,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,0.57,United States,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA DEVELOPMENT BANK,Government Related,Fixed Income,0.49,China,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA PEOPLES REPUBLIC OF (GOVERNM,Treasury,Fixed Income,0.46,China,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA PEOPLES REPUBLIC OF (GOVERNM,Treasury,Fixed Income,0.44,China,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA PEOPLES REPUBLIC OF (GOVERNM,Treasury,Fixed Income,0.44,China,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA DEVELOPMENT BANK,Government Related,Fixed Income,0.36,China,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA DEVELOPMENT BANK,Government Related,Fixed Income,0.34,China,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA PEOPLES REPUBLIC OF (GOVERNM,Treasury,Fixed Income,0.31,China,,,,,,,,,,,,,,,,,,,,
IAGG,JAPAN (GOVERNMENT OF) 10YR #343,Treasury,Fixed Income,0.30,Japan,,,,,,,,,,,,,,,,,,,,
IAGG,FRANCE (REPUBLIC OF) RegS,Treasury,Fixed Income,0.30,France,,,,,,,,,,,,,,,,,,,,
IAGG,JAPAN (GOVERNMENT OF) 5YR #134,Treasury,Fixed Income,0.29,Japan,,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.28,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA PEOPLES REPUBLIC OF (GOVERNM,Treasury,Fixed Income,0.28,China,,,,,,,,,,,,,,,,,,,,
IAGG,JAPAN (GOVERNMENT OF) 5YR #132,Treasury,Fixed Income,0.27,Japan,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA PEOPLES REPUBLIC OF (GOVERNM,Treasury,Fixed Income,0.26,China,,,,,,,,,,,,,,,,,,,,
IAGG,FRANCE (REPUBLIC OF) RegS,Treasury,Fixed Income,0.26,France,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA PEOPLES REPUBLIC OF (GOVERNM,Treasury,Fixed Income,0.26,China,,,,,,,,,,,,,,,,,,,,
IAGG,EXPORT-IMPORT BANK OF CHINA,Government Related,Fixed Income,0.25,China,,,,,,,,,,,,,,,,,,,,
IAGG,GERMANY (FEDERAL REPUBLIC OF) RegS,Treasury,Fixed Income,0.25,Germany,,,,,,,,,,,,,,,,,,,,
IAGG,JAPAN (GOVERNMENT OF) 2YR #421,Treasury,Fixed Income,0.25,Japan,,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.24,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,ITALY (REPUBLIC OF) RegS,Treasury,Fixed Income,0.23,Italy,,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.23,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,JAPAN (GOVERNMENT OF) 5YR #142,Treasury,Fixed Income,0.23,Japan,,,,,,,,,,,,,,,,,,,,
IAGG,EXPORT-IMPORT BANK OF CHINA,Government Related,Fixed Income,0.23,China,,,,,,,,,,,,,,,,,,,,
IAGG,FRANCE (REPUBLIC OF) RegS,Treasury,Fixed Income,0.23,France,,,,,,,,,,,,,,,,,,,,
IAGG,JAPAN (GOVERNMENT OF) 10YR #361,Treasury,Fixed Income,0.22,Japan,,,,,,,,,,,,,,,,,,,,
IAGG,FRANCE (REPUBLIC OF) RegS,Treasury,Fixed Income,0.21,France,,,,,,,,,,,,,,,,,,,,
IAGG,JAPAN (GOVERNMENT OF) 5YR #141,Treasury,Fixed Income,0.21,Japan,,,,,,,,,,,,,,,,,,,,
IAGG,JAPAN (GOVERNMENT OF) 5YR #135,Treasury,Fixed Income,0.21,Japan,,,,,,,,,,,,,,,,,,,,
IAGG,FRANCE (REPUBLIC OF) RegS,Treasury,Fixed Income,0.21,France,,,,,,,,,,,,,,,,,,,,
IAGG,FRANCE (REPUBLIC OF) RegS,Treasury,Fixed Income,0.21,France,,,,,,,,,,,,,,,,,,,,
IAGG,FRANCE (REPUBLIC OF) RegS,Treasury,Fixed Income,0.21,France,,,,,,,,,,,,,,,,,,,,
IAGG,EUR/USD,Cash and/or Derivatives,Forwards,0.21,United States,,,,,,,,,,,,,,,,,,,,
IAGG,EUR/USD,Cash and/or Derivatives,Forwards,0.21,United States,,,,,,,,,,,,,,,,,,,,
IAGG,EUR/USD,Cash and/or Derivatives,Forwards,0.21,United States,,,,,,,,,,,,,,,,,,,,
IAGG,EUR/USD,Cash and/or Derivatives,Forwards,0.21,United States,,,,,,,,,,,,,,,,,,,,
IAGG,EUR/USD,Cash and/or Derivatives,Forwards,0.20,United States,,,,,,,,,,,,,,,,,,,,
IAGG,USD CASH,Cash and/or Derivatives,Cash,0.20,United States,,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.20,United Kingdom,,,,,,,,,,,,,,,,,,,,
